FID,Long,Lat,SC
0,373373.5679,6390659.915,LF
1,379204.6976,6400629.451,LF
2,379065.6365,6400554.591,LF
3,371968.4021,6391851.725,LF
4,373068.6306,6391097.358,LF
5,378760.46,6394892.671,LF
6,378844.8929,6395981.436,LF
7,373680.3571,6390963.193,LF
8,375139.8975,6386080.517,LF
9,376112.6873,6391887.419,LF
10,379167.4415,6400291.927,LF
11,378898.8171,6400910.715,LF
12,371854.5121,6391803.691,LF
13,373133.8446,6391356.547,LF
14,372181.75,6391682.59,LF
15,371868.2292,6391853.766,LF
16,377842.4611,6379122.849,LF
17,378774.3424,6400562.154,LF
18,373100.8241,6391148.774,LF
19,378869.3114,6400632.049,LF
20,372898.3507,6391129.563,LF
21,379683.4302,6392080.812,LF
22,378964.3061,6400311.647,LF
23,379812.4604,6397035.396,LF
24,371557.0459,6392090.384,LF
25,379057.522,6401459.271,LF
26,372950.1395,6390379.536,LF
27,371312.4751,6392350.03,LF
28,375020.3614,6384992.352,LF
29,379608.0739,6399504.449,LF
30,379201.0612,6400619.428,LF
31,378998.1195,6400544.904,LF
32,371091.8472,6392353.835,LF
33,371531.6792,6392092.275,LF
34,376109.95,6392183.441,LF
35,379585.9368,6399704.875,LF
36,379117.0328,6400265.815,LF
37,378988.0569,6400600.222,LF
38,378914.7036,6399753.321,LF
39,379650.7646,6398922.844,LF
40,371222.6402,6391965.209,LF
41,378803.7609,6394883.217,LF
42,383115.2375,6394687.351,LF
43,379225.268,6400248.273,LF
44,379025.1282,6400486.464,LF
45,375027.8218,6384995.772,LF
46,372875.1885,6391105.982,LF
47,378902.8022,6400891.914,LF
48,372001.091,6391791.158,LF
49,381707.1193,6393571.952,M2
50,382472.8767,6394945.921,M2
51,376359.7977,6390578.743,M2
52,378559.054,6392310.019,M2
53,382587.4298,6392709.725,M2
54,379546.7743,6393994.074,M2
55,381229.2894,6392549.508,M2
56,379640.4915,6398761.945,M2
57,377892.3061,6392798.631,M2
58,381528.5139,6390431.928,M2
59,379781.3621,6392988.997,M2
60,382553.7902,6392537.465,M2
61,380765.3278,6395403.572,M2
62,381024.2413,6392349.698,M2
63,381182.9821,6392181.943,M2
64,380746.4007,6392586.992,M2
65,382223.2619,6390880.352,M2
66,381117.8038,6391350.673,M2
67,378761.6887,6395642.24,M2
68,377073.6202,6392814.083,M2
69,381052.0383,6391750.167,M2
70,377508.5411,6392863.783,M2
71,378851.7984,6394792.878,M2
72,373890.0224,6388930.016,M2
73,374558.6575,6386724.101,M2
74,382192.4758,6391182.69,M2
75,382122.5153,6394007.078,M2
76,373994.4235,6390246.421,M2
77,382375.6318,6393717.342,M2
78,382474.8565,6391907.849,M2
79,382345.7129,6391796.556,M2
80,379665.0458,6397346.304,M2
81,379609.3303,6399009.941,M2
82,379123.2855,6396330.755,M2
83,383115.2375,6394687.351,M2
84,382450.3482,6390404.03,M2
85,373725.7056,6389309.377,JM
86,374169.785,6388546.567,JM
87,374112.9105,6388518.128,JM
88,374355.0189,6386871.227,JM
89,379445.232,6400079.062,JM
90,379295.8251,6400161.53,JM
91,379615.2219,6398832.604,JM
92,379601.4746,6396699.107,JM
93,377088.7605,6392499.364,JM
94,374474.2969,6387760.914,JM
95,379576.8687,6397884.119,JM
96,373299.552,6391462.885,JM
97,379619.7458,6397520.949,JM
98,373179.3519,6391320.534,JM
99,373082.8704,6391165.733,JM
100,379014.5041,6396164.226,JM
101,379635.0509,6393835.471,JM
102,373652.2569,6389403.807,JM
103,379528.3156,6399965.857,JM
104,379070.4497,6393715.549,JM
105,373100.8241,6391148.774,JM
106,375997.4604,6392172.064,JM
107,379595.4965,6398520.794,JM
108,379560.8164,6399840.954,JM
109,378902.8022,6400891.914,JM
110,378914.7036,6399753.321,JM
111,379526.8691,6400007.974,JM
112,373194.3296,6391249.759,JM
113,376566.0414,6380233.654,JM
114,380684.961,6393957.846,JM
115,375746.9565,6383588.787,JM
116,373007.7048,6390575.426,JM
117,378930.1974,6396225.298,JM
118,379117.0328,6400265.815,JM
119,371890.2174,6391654.456,JM
120,379694.6979,6398706.048,JM
121,375044.3973,6386739.078,JM
122,379069.7163,6400605.645,JM
123,379656.8682,6397869.559,JM
124,377066.5712,6378800.582,JM
125,373173.6415,6391105.347,JM
126,379599.3506,6397888.825,JM
127,379679.0896,6397349.799,JM
128,373293.897,6391021.494,JM
129,373443.4836,6386633.481,JM
130,379650.7646,6398922.844,JM
131,375900.4149,6383164.908,JM
132,373120.5785,6391071.406,JM
133,372906.512,6390415.572,JM
134,379167.4415,6400291.927,JM
135,376534.9639,6382660.521,JM
136,379665.753,6397053.589,JM
137,375694.7896,6384386.501,AM1
138,377114.6571,6377793.239,AM1
139,379123.2855,6396330.755,AM1
140,379650.7646,6398922.844,AM1
141,372993.5438,6391031.534,AM1
142,372864.2363,6391228.924,AM1
143,374383.0214,6391058.557,AM1
144,379609.169,6398789.288,AM1
145,371672.635,6392006.49,AM1
146,378129.2495,6396226.649,AM1
147,374022.2862,6389007.09,AM1
148,376567.1948,6392019.459,AM1
149,371742.6926,6391959.711,AM1
150,377842.4611,6379122.849,AM1
151,379697.1095,6398661.726,AM1
152,375139.8975,6386080.517,AM1
153,373890.0224,6388930.016,AM1
154,373443.4836,6386633.481,AM1
155,374476.083,6391866.961,AM1
156,374837.5111,6387301.989,AM1
157,378247.5472,6392378.296,AM1
158,379683.4302,6392080.812,AM1
159,372961.1139,6391212.417,AM1
160,375172.9576,6386511.161,AM1
161,374845.8743,6387607.025,AM1
162,378792.6293,6377228.401,AM1
163,379594.9579,6399579.689,AM1
164,374110.3623,6388497.027,AM1
165,379609.3303,6399009.941,AM1
166,376179.9146,6381579.421,AM1
167,373250.6767,6390139.416,AM1
168,375531.0173,6385033.125,AM1
169,373795.4844,6389208.248,AM1
170,381117.8038,6391350.673,AM1
171,379812.4604,6397035.396,AM1
172,380928.5524,6393053.755,AM1
173,379526.5528,6396682.681,AM1
174,373216.248,6391075.95,AM1
175,378562.5212,6378418.698,AM1
176,374971.6435,6386332.33,AM1
177,377892.3061,6392798.631,AM1
178,377446.4538,6392569.184,AM1
179,376671.618,6381017.807,AM1
180,377335.0099,6390259.25,AM1
181,373432.8085,6389541.846,AM1
182,374112.9105,6388518.128,AM1
183,378156.9402,6390268.219,AM1
184,375981.0394,6383016.22,AM1
185,376566.0414,6380233.654,AM1
186,383115.2375,6394687.351,AM1
187,377261.4449,6378732.027,M1
188,375027.8218,6384995.772,M1
189,377208.1439,6379252.524,M1
190,377567.4132,6377711.234,M1
191,372906.512,6390415.572,M1
192,378806.4286,6377940.443,M1
193,375427.7769,6391943.202,M1
194,377663.0888,6379302.491,M1
195,376717.3845,6379973.846,M1
196,375807.5725,6382489.573,M1
197,372864.2363,6391228.924,M1
198,374163.1766,6388772.687,M1
199,377872.3634,6378977.959,M1
200,378357.9856,6376905.955,M1
201,378485.5384,6390486.231,M1
202,375527.7458,6384095.005,M1
203,379683.4302,6392080.812,M1
204,377872.3634,6378977.959,M1
205,377757.3669,6392014.154,M1
206,378562.5212,6378418.698,M1
207,374009.6919,6389632.317,M1
208,379609.3303,6399009.941,M1
209,376750.5807,6381832.676,M1
210,377265.7742,6380202.404,M1
211,378792.6293,6377228.401,M1
212,376364.3849,6381598.35,M1
213,378357.9856,6376905.955,M1
214,376423.6983,6392465.647,M1
215,376717.3845,6379973.846,M1
216,378528.8389,6374662.644,M1
217,382228.8623,6394780.054,M1
218,383216.1412,6395049.996,M1
219,378485.5384,6390486.231,M1
220,374009.6919,6389632.317,M1
221,377506.7829,6379207.422,M1
222,374558.6575,6386724.101,M1
223,375027.8218,6384995.772,M1
224,376409.1898,6381765.233,M1
225,377737.7595,6376892.79,M1
226,379657.348,6391831.015,M1
227,382345.7129,6391796.556,M1
228,379665.0458,6397346.304,M1
229,374111.9799,6387478.022,M1
230,379683.4302,6392080.812,M1
231,381182.9821,6392181.943,M1
232,382450.3482,6390404.03,M1
233,377053.6853,6380068.938,M1
234,377335.0099,6390259.25,M1
235,378792.6293,6377228.401,M1
236,379611.0915,6399487.853,M1
246,381404.3172,6392827.681,AM1
247,374239.0828,6388928.883,AM1
248,375992.9367,6384017.651,AM1
249,371742.6926,6391959.711,AM1
250,378822.0013,6400582.689,AM1
251,375694.7896,6384386.501,AM1
252,379123.2855,6396330.755,AM1
253,376112.6873,6391887.419,AM1
254,375020.3614,6384992.352,AM1
255,374837.5111,6387301.989,AM1
256,379585.9368,6399704.875,AM1
257,377066.5712,6378800.582,AM1
258,372993.5438,6391031.534,AM1
259,374845.8743,6387607.025,AM1
260,374383.0214,6391058.557,AM1
261,377114.6571,6377793.239,AM1
262,379594.9579,6399579.689,AM1
263,377446.4538,6392569.184,AM1
264,377757.3669,6392014.154,AM1
265,373432.8085,6389541.846,AM1
266,373784.885,6388785.645,AM1
267,372539.6849,6391435.462,AM1
268,379679.0896,6397349.799,AM1
269,373490.0938,6390277.735,AM1
270,376179.9146,6381579.421,AM1
271,377842.4611,6379122.849,AM1
272,372860.6327,6391143.497,AM1
273,381445.7873,6393524.5,AM1
274,373216.248,6391075.95,AM1
275,376092.0892,6391581.127,AM1
276,374973.0445,6386743.727,AM1
277,379609.169,6398789.288,AM1
278,377892.3061,6392798.631,AM1
279,371855.2557,6391804.255,AM1
280,371672.635,6392006.49,AM1
281,378562.5212,6378418.698,AM1
282,373443.4836,6386633.481,AM1
283,374110.3623,6388497.027,AM1
284,378851.7984,6394792.878,AM1
285,379942.2,6391947.546,AM1
286,379609.3303,6399009.941,AM1
287,373250.6767,6390139.416,AM1
288,381117.8038,6391350.673,AM1
289,374112.9105,6388518.128,AM1
290,379812.4604,6397035.396,AM1
291,380928.5524,6393053.755,AM1
292,379546.7743,6393994.074,AM1
293,376187.1004,6391941.566,AM1
294,383115.2375,6394687.351,AM1
295,374971.6435,6386332.33,AM1
296,374476.083,6391866.961,AM1
297,372864.2363,6391228.924,AM1
298,379683.4302,6392080.812,AM1
299,378792.6293,6377228.401,AM1
300,376364.3849,6381598.35,AM1
301,375981.0394,6383016.22,AM1
302,375807.5725,6382489.573,AM1
303,374022.2862,6389007.09,AM1
304,371172.0633,6392465.756,AM1
305,371714.0144,6391927.185,AM1
306,376566.0414,6380233.654,AM1
307,375900.4149,6383164.908,AM1
308,371905.0577,6391887.504,AM1
309,377208.1439,6379252.524,M1
310,377073.6202,6392814.083,M1
311,377872.3634,6378977.959,M1
312,374619.9097,6385659.274,M1
313,377160.2093,6379490.332,M1
314,376566.0414,6380233.654,M1
315,376534.9639,6382660.521,M1
316,376364.3849,6381598.35,M1
317,377265.7742,6380202.404,M1
318,377842.4611,6379122.849,M1
319,377261.4449,6378732.027,M1
320,377872.3634,6378977.959,M1
321,376326.7322,6382288.69,M1
322,374355.0189,6386871.227,M1
323,379599.3506,6397888.825,M1
324,376872.4719,6379789.484,M1
325,374558.6575,6386724.101,M1
326,373890.0224,6388930.016,M1
327,375527.5403,6382987.269,M1
328,376750.5807,6381832.676,M1
329,373432.8085,6389541.846,M1
330,379683.4302,6392080.812,M1
331,378562.5212,6378418.698,M1
332,377737.7595,6376892.79,M1
333,377506.7829,6379207.422,M1
334,378792.6293,6377228.401,M1
335,383115.2375,6394687.351,M1
336,382450.3482,6390404.03,M1
337,375900.4149,6383164.908,M1
338,374009.6919,6389632.317,M1
339,383586.6512,6394916.833,AF2
340,386226.1593,6394458.283,AF2
341,382320.6986,6392564.657,AF2
342,386149.5833,6394423.038,AF2
343,382228.8623,6394780.054,AF2
344,372950.5676,6391082.548,AF2
345,379665.0458,6397346.304,AF2
346,379420.6515,6393943.764,AF2
347,379611.0915,6399487.853,AF2
348,379577.3342,6399873.308,AF1
349,380765.3278,6395403.572,AF1
350,376139.5158,6391465.289,AF1
351,377654.5172,6394279.315,AF1
352,379517.3735,6398067.463,AF1
353,379752.2935,6397665.579,AF1
354,374971.6435,6386332.33,AF1
355,374110.3623,6388497.027,AF1
356,379517.9369,6397786.943,AF1
357,374476.083,6391866.961,AF1
358,379810.3237,6396978.821,AF1
359,374478.0594,6387090.112,AF1
360,373152.5324,6391141.67,AF1
361,376977.6527,6392071.099,AF1
362,379225.268,6400248.273,AF1
363,379785.1617,6399274.73,AF1
364,379604.1375,6399207.244,AF1
365,379622.2512,6398170.736,AF1
366,379707.7215,6398482.228,AF1
367,379052.3801,6400563.301,AF1
368,371503.3647,6392177.292,AF1
369,379000.1715,6400452.899,AF1
370,379710.963,6397198.277,AF1
371,379640.6017,6398596.735,AF1
372,379626.9517,6398482.365,AF1
373,380585.652,6391588.254,AF1
374,378924.0177,6401234.789,AF1
375,382040.4813,6394673.604,AF1
376,375611.9925,6386359.2,AF1
377,379022.4408,6401174.995,AF1
378,379650.7646,6398922.844,AF1
379,379201.0612,6400619.428,AF1
380,379378.323,6400097.105,AF1
381,381707.1193,6393571.952,AF1
382,379025.1282,6400486.464,AF1
383,379599.3506,6397888.825,AF1
384,377519.2745,6394896.375,AF1
385,374558.6575,6386724.101,AF1
386,373270.8102,6390918.079,AF1
387,379069.7163,6400605.645,AF1
388,378822.1221,6400572.712,AF1
389,372808.6146,6390586.195,AF1
390,378869.3114,6400632.049,AF1
391,379609.3303,6399009.941,AF1
392,378936.0375,6400707.146,AF1
393,379594.9579,6399579.689,AF1
394,383115.2375,6394687.351,AF1
395,373183.4339,6391073.315,AF1
396,382375.6318,6393717.342,M2
397,382223.2619,6390880.352,M2
398,379420.9457,6396719.106,M2
399,381538.8363,6393751.799,M2
400,378708.7481,6395517.411,M2
401,381246.1416,6393105.218,M2
402,382562.967,6392475.481,M2
403,382378.6995,6393058.755,M2
404,381445.7873,6393524.5,M2
405,378247.5472,6392378.296,M2
406,379609.3303,6399009.941,M2
407,376386.884,6391119.078,M2
408,379546.7743,6393994.074,M2
409,378708.9355,6392565.76,M2
410,381819.2037,6392588.667,M2
411,379420.6515,6393943.764,M2
412,381206.8568,6391516.946,M2
413,379650.7646,6398922.844,M2
414,377073.6202,6392814.083,M2
415,374476.083,6391866.961,M2
416,377446.4538,6392569.184,M2
417,377519.2745,6394896.375,M2
418,382345.7129,6391796.556,M2
419,382192.4758,6391182.69,M2
420,376359.7977,6390578.743,M2
421,382474.8565,6391907.849,M2
422,382450.3482,6390404.03,M2
423,382587.4298,6392709.725,M2
424,373890.0224,6388930.016,M2
425,383115.2375,6394687.351,M2
426,379611.0915,6399487.853,M2
427,379123.2855,6396330.755,M2
428,381117.8038,6391350.673,M2
429,379594.9579,6399579.689,M2
430,375900.4149,6383164.908,M2
431,377299.9397,6379637.317,M1
432,376004.4976,6382864.601,M1
433,375223.1843,6384973.829,M1
434,377502.8165,6379377.026,M1
435,373083.0376,6391145.221,M1
436,377313.302,6380528.989,M1
437,376489.43,6380438.947,M1
438,375981.0394,6383016.22,M1
439,375527.7458,6384095.005,M1
440,376187.1004,6391941.566,M1
441,376750.5807,6381832.676,M1
442,375807.5725,6382489.573,M1
443,377053.6853,6380068.938,M1
444,376534.9639,6382660.521,M1
445,377842.4611,6379122.849,M1
446,373007.7048,6390575.426,M1
447,376717.3845,6379973.846,M1
448,376326.7322,6382288.69,M1
449,374619.9097,6385659.274,M1
450,376386.884,6391119.078,M1
451,376364.3849,6381598.35,M1
452,373890.0224,6388930.016,M1
453,378792.6293,6377228.401,M1
454,377663.0888,6379302.491,M1
455,374163.1766,6388772.687,M1
456,378545.2184,6376462.495,M1
457,374355.0189,6386871.227,M1
458,373082.8704,6391165.733,M1
459,374009.6919,6389632.317,M1
460,377265.7742,6380202.404,M1
461,379683.4302,6392080.812,M1
462,374112.9105,6388518.128,M1
463,374070.9714,6389164.052,M1
464,377737.7595,6376892.79,M1
465,375900.4149,6383164.908,M1
466,379851.9617,6391881.04,AM2
467,378663.9849,6393792.668,AM2
468,379288.5096,6396566.71,AM2
469,374223.8291,6391253.924,AM2
470,373158.7407,6391096.286,AM2
471,376798.1908,6380563.643,AM2
472,371531.6792,6392092.275,AM2
473,371440.7692,6392227.492,AM2
474,375194.7975,6384096.378,AM2
475,378839.1682,6393744.9,AM2
476,378708.9355,6392565.76,AM2
477,379608.0739,6399504.449,AM2
478,376187.1004,6391941.566,AM2
479,373183.4339,6391073.315,AM2
480,373083.0376,6391145.221,AM2
481,373194.3296,6391249.759,AM2
482,373795.4844,6389208.248,AM2
483,375883.9078,6382008.179,AM2
484,374163.1766,6388772.687,AM2
485,372876.2796,6391241.275,AM2
486,376109.95,6392183.441,AM2
487,379579.3887,6392224.81,AM2
488,378851.7984,6394792.878,AM2
489,382122.5153,6394007.078,AM2
490,377508.5411,6392863.783,AM2
491,379614.2794,6394156.774,AM2
492,374290.3208,6391041.866,AM2
493,375172.3918,6384985.389,AM2
494,374165.6689,6387906.714,AM2
495,378869.7271,6400752.914,AM2
496,377814.1483,6393662.551,AM2
497,379640.4915,6398761.945,AM2
498,374070.9714,6389164.052,AM2
499,375531.0173,6385033.125,AM2
500,382213.069,6393890.615,AM2
501,380684.961,6393957.846,AM2
502,378805.4661,6395903.341,AM2
503,382562.967,6392475.481,AM2
504,382474.8565,6391907.849,AM2
505,372808.6146,6390586.195,AM2
506,374111.9799,6387478.022,AM2
507,372181.75,6391682.59,AM2
508,377842.4611,6379122.849,AM2
509,382587.4298,6392709.725,AM2
510,379065.6365,6400554.591,AM2
511,375900.4149,6383164.908,AM2
512,375527.7458,6384095.005,AM2
513,374355.0189,6386871.227,AM2
514,374009.6919,6389632.317,AM2
515,373082.8704,6391165.733,AM2
516,371905.0577,6391887.504,AM2
517,372001.091,6391791.158,AM2
518,377663.0888,6379302.491,M1
519,374111.9799,6387478.022,M1
520,378528.8389,6374662.644,M1
521,378545.2184,6376462.495,M1
522,382320.6986,6392564.657,M1
523,376750.5807,6381832.676,M1
524,376139.5158,6391465.289,M1
525,375527.5403,6382987.269,M1
526,378806.4286,6377940.443,M1
527,374009.6919,6389632.317,M1
528,377053.6853,6380068.938,M1
529,382450.3482,6390404.03,M1
530,374558.6575,6386724.101,M1
531,376717.3845,6379973.846,M1
532,376364.3849,6381598.35,M1
533,374985.9841,6384742.43,M1
534,375746.9565,6383588.787,M1
535,377073.6202,6392814.083,M1
536,374355.0189,6386871.227,M1
537,373994.4235,6390246.421,M1
538,377208.1439,6379252.524,M1
539,376326.7322,6382288.69,M1
540,376004.4976,6382864.601,M1
541,374619.9097,6385659.274,M1
542,376364.3849,6381598.35,M1
543,376534.9639,6382660.521,M1
544,377114.6571,6377793.239,M1
545,375696.0752,6382482.635,M1
546,377506.7829,6379207.422,M1
547,376750.5807,6381832.676,M1
548,376872.4719,6379789.484,M1
549,377502.8165,6379377.026,M1
550,373082.8704,6391165.733,M1
551,374163.1766,6388772.687,M1
552,377261.4449,6378732.027,M1
553,375527.7458,6384095.005,M1
554,375981.0394,6383016.22,M1
555,377313.302,6380528.989,M1
556,377842.4611,6379122.849,M1
557,377265.7742,6380202.404,M1
558,377737.7595,6376892.79,M1
559,374009.6919,6389632.317,M1
560,375527.5403,6382987.269,M1
561,379683.4302,6392080.812,M1
562,374112.9105,6388518.128,M1
563,378792.6293,6377228.401,M1
587,375807.5725,6382489.573,M1
588,377567.4132,6377711.234,M1
589,374112.9105,6388518.128,M1
590,376489.43,6380438.947,M1
591,377265.7742,6380202.404,M1
592,377313.302,6380528.989,M1
593,377208.1439,6379252.524,M1
594,377872.3634,6378977.959,M1
595,376364.3849,6381598.35,M1
596,376750.5807,6381832.676,M1
597,376872.4719,6379789.484,M1
598,377737.7595,6376892.79,M1
599,376717.3845,6379973.846,M1
600,376566.0414,6380233.654,M1
601,377842.4611,6379122.849,M1
602,377872.3634,6378977.959,M1
603,377261.4449,6378732.027,M1
604,374355.0189,6386871.227,M1
605,378562.5212,6378418.698,M1
606,378545.2184,6376462.495,M1
607,376386.884,6391119.078,M1
608,375527.5403,6382987.269,M1
609,378792.6293,6377228.401,M1
610,383115.2375,6394687.351,M1
611,382185.0159,6393881.414,M2
612,379665.0458,6397346.304,M2
613,383054.6425,6394971.6,M2
614,379933.1495,6391919.716,M2
615,378751.7066,6391209.092,M2
616,376872.4719,6379789.484,M2
617,383526.8832,6395131.24,M2
618,375172.9576,6386511.161,M2
619,381819.2037,6392588.667,M2
620,381404.3172,6392827.681,M2
621,381229.2894,6392549.508,M2
622,382375.6318,6393717.342,M2
623,382728.9433,6394965.563,M2
624,383216.1412,6395049.996,M2
625,376567.1948,6392019.459,M2
626,380939.606,6392678.003,M2
627,376788.6741,6392401.414,M2
628,378156.9402,6390268.219,M2
629,382931.8722,6395033.363,M2
630,381117.8038,6391350.673,M2
631,380928.5524,6393053.755,M2
632,377053.6853,6380068.938,M2
633,377506.7829,6379207.422,M2
634,379683.4302,6392080.812,M2
635,378822.0013,6400582.689,AM1
636,374976.1144,6385154.796,AM1
637,375020.3614,6384992.352,AM1
638,377446.4538,6392569.184,AM1
639,379585.9368,6399704.875,AM1
640,377757.3669,6392014.154,AM1
641,377066.5712,6378800.582,AM1
642,372539.6849,6391435.462,AM1
643,379065.209,6401367.334,AM1
644,379594.9579,6399579.689,AM1
645,381117.8038,6391350.673,AM1
646,373432.8085,6389541.846,AM1
647,373784.885,6388785.645,AM1
648,373490.0938,6390277.735,AM1
649,378792.6293,6377228.401,AM1
650,378562.5212,6378418.698,AM1
651,379716.6611,6393372.973,AM1
652,377252.8338,6393735.499,AM1
653,379123.2855,6396330.755,AM1
654,379609.169,6398789.288,AM1
655,374110.3623,6388497.027,AM1
656,373194.3619,6391025.773,AM1
657,376112.6873,6391887.419,AM1
658,374837.5111,6387301.989,AM1
659,375992.9367,6384017.651,AM1
660,376092.0892,6391581.127,AM1
661,374973.0445,6386743.727,AM1
662,371619.4687,6392053.487,AM1
663,377892.3061,6392798.631,AM1
664,371855.2557,6391804.255,AM1
665,372993.5438,6391031.534,AM1
666,379679.0896,6397349.799,AM1
667,371672.635,6392006.49,AM1
668,372860.6327,6391143.497,AM1
669,381445.7873,6393524.5,AM1
670,379942.2,6391947.546,AM1
671,373216.248,6391075.95,AM1
672,379609.3303,6399009.941,AM1
673,374112.9105,6388518.128,AM1
674,374971.6435,6386332.33,AM1
675,376187.1004,6391941.566,AM1
676,374476.083,6391866.961,AM1
677,374055.8054,6391181.947,AM1
678,372864.2363,6391228.924,AM1
679,376364.3849,6381598.35,AM1
680,375981.0394,6383016.22,AM1
681,378851.7984,6394792.878,AM1
682,379546.7743,6393994.074,AM1
683,374022.2862,6389007.09,AM1
684,377842.4611,6379122.849,AM1
685,371714.0144,6391927.185,AM1
686,375807.5725,6382489.573,AM1
687,374355.0189,6386871.227,AM1
688,383115.2375,6394687.351,AM1
689,379683.4302,6392080.812,AM1
690,371905.0577,6391887.504,AM1
691,375900.4149,6383164.908,AM1
692,379594.9579,6399579.689,AM1
693,379609.169,6398789.288,AM1
694,373432.8085,6389541.846,AM1
695,372961.1139,6391212.417,AM1
696,383489.4515,6395120.825,AM1
697,379716.6611,6393372.973,AM1
698,374476.083,6391866.961,AM1
699,375139.8975,6386080.517,AM1
700,378949.5694,6394781.867,AM1
701,379650.7646,6398922.844,AM1
702,372864.2363,6391228.924,AM1
703,377492.809,6379504.419,AM1
704,375522.6492,6385402.265,AM1
705,373890.0224,6388930.016,AM1
706,373250.6767,6390139.416,AM1
707,379065.209,6401367.334,AM1
708,371672.635,6392006.49,AM1
709,378156.9402,6390268.219,AM1
